idx,recommended_ind
16412,1
497,1
12138,1
15708,0
189,1
16832,1
21330,1
33155,0
22323,1
15416,1
20659,1
14920,1
28640,0
26280,0
27977,0
3817,1
23385,0
34476,0
31634,0
8228,1
6277,1
28992,0
7876,1
2356,0
13687,1
25075,0
11962,1
21736,0
20590,1
17898,1
21116,1
36481,0
2445,1
13426,1
17451,1
4179,1
1713,1
35362,0
9212,0
26225,0
5792,1
5560,1
4394,1
14280,0
3092,1
13180,1
29007,0
36426,0
29989,0
20965,1
14217,1
31957,0
9052,1
16211,1
9620,1
12199,1
14954,1
13535,1
22750,0
5072,1
29813,0
2263,1
9907,1
34741,0
34441,0
3104,1
11997,0
2360,1
30398,0
21395,1
18494,1
6265,1
24911,0
16084,1
27179,0
2256,1
31440,0
20887,1
22035,1
13990,1
7466,1
35668,0
3188,1
25412,0
30191,0
26673,0
3232,1
37003,0
27271,0
32777,0
17272,1
3214,1
13145,1
28766,0
10862,1
2939,1
29921,0
35299,0
3634,1
22736,0
13334,1
35369,0
31641,0
7872,0
26166,0
5720,1
31158,0
35956,0
6720,1
28104,0
4244,1
23962,0
27868,0
8131,0
9223,1
4547,1
18546,0
19545,1
28592,0
10747,1
34790,0
28132,0
30062,0
30309,0
10175,1
15630,1
17756,1
24114,0
29818,0
31922,0
13221,1
3974,0
16520,1
19216,1
14938,1
12647,1
24829,0
33380,0
26128,0
12844,1
33574,0
5756,1
26933,0
16025,1
20576,0
5628,0
8343,1
6379,1
30696,0
32832,0
3106,1
16436,1
21636,0
12684,0
26969,0
8711,1
21390,1
29261,0
30992,0
19332,1
5461,0
9231,0
7649,1
10172,1
3952,0
34253,0
6175,1
19757,0
14901,1
5649,1
22881,0
14813,0
34735,0
30457,0
30587,0
2953,1
20308,1
13047,1
27632,0
12611,1
12134,1
23736,0
14241,0
36379,0
4655,1
24300,0
23651,0
5227,1
4273,1
18897,1
7834,1
11231,1
7294,1
31668,0
12968,0
5416,1
12281,1
36263,0
31191,0
32490,0
33839,0
12995,1
34236,0
17606,1
24410,0
